id,make,model,year,cylinders,engine_displacement,drive,fuel_type,fuel_cost,fuel_type1,transmission,vehicle_size_class,you_save_spend,annual_petroleum_consumption,fetch_date,fiyat
3190,Chevrolet,Beretta,1987,6,2.8,Front-Wheel Drive,Regular,2700,Regular Gasoline,Manual 5-spd,Compact Cars,-4000,14.8755,2024-11-13 00:04:23,80664.00
32231,Mazda,6,2013,6,3.7,Front-Wheel Drive,Regular,2550,Regular Gasoline,Automatic (S6),Midsize Cars,-3250,14.1671,2024-11-13 00:04:23,42867.00
32746,GMC,Terrain FWD,2013,6,3.6,Front-Wheel Drive,Regular,2700,Regular Gasoline,Automatic 6-spd,Small Sport Utility Vehicle 2WD,-4000,14.8755,2024-11-13 00:04:23,55073.00
34294,Chrysler,300,2014,6,3.6,Rear-Wheel Drive,Regular,2350,Regular Gasoline,Automatic 8-spd,Large Cars,-2250,12.9352,2024-11-13 00:04:23,52189.00
37369,Mercedes-Benz,AMG GLS63,2017,8,5.5,4-Wheel Drive,Premium,4800,Premium Gasoline,Automatic 7-spd,Standard Sport Utility Vehicle 4WD,-14500,21.2507,2024-11-12 23:34:21,83150.00
37890,BMW,320i,2017,4,2,Rear-Wheel Drive,Premium,2500,Premium Gasoline,Manual 6-spd,Compact Cars,-3000,11.0189,2024-11-12 23:34:21,41937.00
38424,Toyota,Highlander AWD,2017,6,3.5,All-Wheel Drive,Regular,2450,Regular Gasoline,Automatic (S8),Standard Sport Utility Vehicle 4WD,-2750,13.5232,2024-11-12 23:34:21,48586.00
39072,GMC,Canyon 2WD,2018,4,2.5,Rear-Wheel Drive,Regular,2450,Regular Gasoline,Manual 6-spd,Small Pickup Trucks 2WD,-2750,13.5232,2024-11-12 23:34:21,39777.00
4179,Toyota,Celica Convertible,1988,4,2,Front-Wheel Drive,Regular,2150,Regular Gasoline,Manual 5-spd,Minicompact Cars,-1250,11.9004,2024-11-12 23:34:21,42522.00
42410,Porsche,911 Carrera S,2020,6,3,Rear-Wheel Drive,Premium,3350,Premium Gasoline,Manual 7-spd,Minicompact Cars,-7250,14.8755,2024-11-12 23:34:21,70581.00
44455,Lexus,ES 350 F Sport,2022,6,3.5,Front-Wheel Drive,Regular,2150,Regular Gasoline,Automatic (S8),Midsize Cars,-1250,11.9004,2024-11-12 23:34:21,50009.00
46525,BMW,M440i xDrive Convertible,2024,6,3,All-Wheel Drive,Premium,2700,Premium Gasoline,Automatic (S8),Subcompact Cars,-4000,11.9004,2024-11-12 23:34:21,80947.00
46648,Ford,Mustang,2024,8,5,Rear-Wheel Drive,Regular,3000,Regular Gasoline,Automatic (S10),Subcompact Cars,-5500,16.5283,2024-11-12 23:34:21,77914.00
5252,Nissan,300ZX,1989,6,3,Rear-Wheel Drive,Regular,3000,Regular Gasoline,Automatic 4-spd,Two Seaters,-5500,16.5283,2024-11-12 23:34:21,48335.00
5256,Evans Automobiles,Series I,1989,8,5.7,Rear-Wheel Drive,Regular,2850,Regular Gasoline,Manual 5-spd,Two Seaters,-4750,15.6584,2024-11-12 23:34:21,72963.00
686,Mercury,Grand Marquis Wagon,1985,8,5,Rear-Wheel Drive,Regular,3150,Regular Gasoline,Automatic 4-spd,Midsize-Large Station Wagons,-6250,17.5006,2024-11-12 23:34:21,70558.00
7568,Nissan,Sentra,1991,4,2,Front-Wheel Drive,Regular,2250,Regular Gasoline,Manual 5-spd,Subcompact Cars,-1750,12.3962,2024-11-12 23:34:21,79766.00
7899,Volkswagen,Jetta,1991,4,1.8,Front-Wheel Drive,Regular,2150,Regular Gasoline,Manual 5-spd,Compact Cars,-1250,11.9004,2024-11-12 23:34:21,59641.00
8114,Nissan,Truck 2WD,1991,4,2.4,Rear-Wheel Drive,Regular,2700,Regular Gasoline,Automatic 4-spd,Small Pickup Trucks,-4000,14.8755,2024-11-12 23:34:21,67164.00
37413,Kia,Rio,2017,4,1.6,Front-Wheel Drive,Regular,1800,Regular Gasoline,Automatic (S6),Compact Cars,500,9.917,2024-11-12 23:34:21,48775.00
37688,Cadillac,Escalade 4WD,2017,8,6.2,4-Wheel Drive,Regular,3150,Regular Gasoline,Automatic 8-spd,Standard Sport Utility Vehicle 4WD,-6250,17.5006,2024-11-12 23:34:21,71895.00
38340,Nissan,Juke,2017,4,1.6,Front-Wheel Drive,Premium,2300,Premium Gasoline,Automatic (AV-S7),Small Station Wagons,-2000,10.259,2024-11-12 23:34:21,39672.00
38555,MINI,Cooper S Countryman,2017,4,2,Front-Wheel Drive,Premium,2500,Premium Gasoline,Automatic (S8),Midsize Cars,-3000,11.0189,2024-11-12 23:34:21,78834.00
39188,Jeep,Grand Cherokee SRT 4WD,2018,8,6.4,All-Wheel Drive,Premium,4500,Premium Gasoline,Automatic 8-spd,Standard Sport Utility Vehicle 4WD,-13000,19.834,2024-11-12 23:34:21,73912.00
40875,Lexus,GS 350,2019,6,3.5,Rear-Wheel Drive,Premium,2950,Premium Gasoline,Automatic (S8),Midsize Cars,-5250,12.9352,2024-11-12 23:34:21,35491.00
41863,Chevrolet,Silverado Cab Chassis 4WD,2020,6,4.3,4-Wheel Drive,Regular,3600,Regular Gasoline,Automatic 6-spd,Special Purpose Vehicle 4WD,-8500,19.834,2024-11-12 23:34:21,50742.00
43071,Land Rover,Range Rover Velar,2021,8,5,All-Wheel Drive,Premium,3950,Premium Gasoline,Automatic (S8),Small Sport Utility Vehicle 4WD,-10250,17.5006,2024-11-12 23:34:21,41108.00
43537,Mercedes-Benz,AMG E63 S 4matic Plus,2021,8,4,4-Wheel Drive,Premium,3750,Premium Gasoline,Automatic 9-spd,Midsize Cars,-9250,16.5283,2024-11-12 23:34:21,41278.00
43678,Ford,Mustang Convertible,2021,8,5,Rear-Wheel Drive,Regular,3000,Regular Gasoline,Automatic (S10),Subcompact Cars,-5500,16.5283,2024-11-12 23:34:21,61380.00
46084,Porsche,911 GT3,2023,6,4,Rear-Wheel Drive,Premium,4200,Premium Gasoline,Manual 6-spd,Two Seaters,-11500,18.5944,2024-11-12 23:34:21,74438.00
2937,Ferrari,3.2 Mondial/Cabriolet,1987,8,3.2,Rear-Wheel Drive,Regular,4150,Regular Gasoline,Manual 5-spd,Minicompact Cars,-11250,22.8854,2024-11-12 23:34:21,65939.00
2985,Chevrolet,Chevette CS,1987,4,1.6,Rear-Wheel Drive,Regular,2250,Regular Gasoline,Automatic 3-spd,Subcompact Cars,-1750,12.3962,2024-11-12 23:34:21,36139.00
30513,GMC,Yukon 1500 Hybrid 2WD,2011,8,6,Rear-Wheel Drive,Regular,2550,Regular Gasoline,Automatic (variable gear ratios),Sport Utility Vehicle - 2WD,-3250,14.1671,2024-11-12 23:34:21,39065.00
31673,Mitsubishi,i-MiEV,2012,NULL,NULL,Rear-Wheel Drive,Electricity,700,Electricity,Automatic (A1),Subcompact Cars,6000,0.072,2024-11-12 23:34:21,47534.00
32038,Infiniti,G37 Coupe,2012,6,3.7,Rear-Wheel Drive,Premium,3550,Premium Gasoline,Manual 6-spd,Subcompact Cars,-8250,15.6584,2024-11-12 23:34:21,65702.00
32745,GMC,Terrain FWD,2013,4,2.4,Front-Wheel Drive,Regular,2050,Regular Gasoline,Automatic 6-spd,Small Sport Utility Vehicle 2WD,-750,11.4427,2024-11-12 23:34:21,75433.00
32870,MINI,John Cooper Works Roadster,2013,4,1.6,Front-Wheel Drive,Premium,2300,Premium Gasoline,Automatic (S6),Two Seaters,-2000,10.259,2024-11-12 23:34:21,75125.00
